Date,Close,High,Low,Open,Volume,MA7,MA30,Daily Change,Daily Return
1/2/2020,72.33388519,72.39409319,71.09119132,71.34406195,135480400,,,0.989823239,
1/3/2020,71.63065338,72.38927264,71.40668141,71.56322072,146322800,,,0.06743266,-0.97220246
1/6/2020,72.20140076,72.23993474,70.5035388,70.75400603,118387200,,,1.447394723,0.796792083
1/7/2020,71.86184692,72.4663301,71.64268897,72.21104883,108872000,,,-0.349201907,-0.470287044
1/8/2020,73.01784515,73.31888511,71.56562868,71.56562868,132079200,,,1.452216477,1.608639743
1/9/2020,74.56879425,74.76145686,73.74274247,73.99320239,170108400,,,0.57559186,2.124068566
1/10/2020,74.73737335,75.30092656,74.23644615,74.80240268,140644800,72.90739986,,-0.065029328,0.226071916
1/13/2020,76.33409119,76.36058652,74.93485817,75.05287083,121532000,73.47885786,,1.281220361,2.136438254
1/14/2020,75.30332947,76.48100119,75.18051018,76.27147857,161954400,74.00352587,,-0.968149106,-1.350329457
1/15/2020,74.98059845,75.98245998,74.54950732,75.10342506,121923600,74.40055411,,-0.122826614,-0.4285747
1/16/2020,75.91984558,76.03063355,75.16122657,75.52247442,108829200,74.98026821,,0.397371164,1.252653554
1/17/2020,76.76036072,76.76276404,75.86205501,76.1679089,137816400,75.51491329,,0.592451817,1.107108596
1/21/2020,76.24017334,76.83020722,76.10289736,76.38948798,110843200,75.75368173,,-0.149314635,-0.677677089
1/22/2020,76.51230621,77.06380603,76.41837823,76.72423214,101832400,76.00724357,,-0.211925922,0.356941572
1/23/2020,76.88078308,76.96025439,76.01860062,76.56529383,104472000,76.08534241,,0.315489254,0.481591637
1/24/2020,76.65921783,77.86819158,76.46895854,77.12643241,146537600,76.27904075,,-0.467214574,-0.288193275
1/27/2020,74.40502167,75.08416207,73.42483403,74.67234156,161940000,76.19681549,,-0.267319893,-2.940541569
1/28/2020,76.50991058,76.68089923,75.18533472,75.28407671,162234000,76.28111049,,1.225833869,2.828960827
1/29/2020,78.11141968,78.95674202,77.39855929,78.13791501,216229200,76.47411891,,-0.026495332,2.093204765
1/30/2020,77.99823761,78.05122093,76.76517928,77.1962705,126743200,76.72527095,,0.80196711,-0.144898234
